fluid,topo,case,Re,source,G,cF_meas,darcy_frac,A_used
sco2,Diamond,34,23534.697973432416,,217.99452524804988,1542.526530360945,0.0016116609483057417,0.0005935859999999999
sco2,Diamond,35,27197.278648104984,,251.6512730705107,1540.4075481433822,0.0013968420510380543,0.0005935859999999999
sco2,Diamond,36,33720.12301674121,,297.57264285269844,1501.5419409626677,0.0011560762219950164,0.0005935859999999999
sco2,Diamond,37,8939.609650115377,,81.86132440979254,1733.5344570973348,0.0037672568560355437,0.0005935859999999999
sco2,Diamond,38,13493.80387825262,,125.59166581667117,1598.6680207425081,0.002709221892279529,0.0005935859999999999
sco2,Diamond,39,17899.462754486376,,166.93042016906304,1577.3888913590483,0.002071267579766461,0.0005935859999999999
sco2,Diamond,40,22332.33614737783,,208.69315548369826,1560.106707580498,0.0016791794968803832,0.0005935859999999999
sco2,Diamond,41,27107.46035295389,,251.39055527154312,1555.8920267666333,0.0013875356505040947,0.0005935859999999999
sco2,Diamond,42,9010.181735124577,,81.6736511934457,1496.7224613742057,0.004326706994561543,0.0005935859999999999
sco2,Diamond,43,13655.221240745752,,125.44583074548407,1484.7001230654844,0.0028822021458159803,0.0005935859999999999
sco2,Diamond,44,18291.306107611745,,166.03359478037618,1536.0581070878136,0.0020814127174180316,0.0005935859999999999
sco2,Diamond,45,22577.091451323962,,209.15766546971108,1549.7118154541404,0.0016721287496632312,0.0005935859999999999
sco2,Diamond,46,26984.639111537854,,251.32467680585702,1550.804808827802,0.0013984081783548724,0.0005935859999999999
sco2,Diamond,47,8790.95679966697,,81.62781693011256,1647.7062928849264,0.004029452162428137,0.0005935859999999999
sco2,Diamond,48,13306.812488501982,,124.35011757165586,1522.2905215780604,0.002884624496012968,0.0005935859999999999
sco2,Diamond,49,17515.848564456533,,165.88715851080528,1563.423688485604,0.0021353998150507526,0.0005935859999999999
sco2,Diamond,50,21797.257822236545,,208.3322922173956,1565.5248430555323,0.0017143853328812522,0.0005935859999999999
sco2,Diamond,51,26826.311550497852,,251.1442582646398,1569.0623226235198,0.0013903049678647933,0.0005935859999999999
air,Gyroid,工况2,861.6598370242058,experiments/water_air/water-air_G7-t0p6_shanghai_experiment_20260401.xlsx,7.005892911800243,532.3919966091122,0.09542785064000922,0.00065
air,Gyroid,工况3,1275.4125428416346,experiments/water_air/water-air_G7-t0p6_shanghai_experiment_20260401.xlsx,10.508839367700363,529.8480145728887,0.06682807737181773,0.00065
air,Gyroid,工况4,1699.2797828574196,experiments/water_air/water-air_G7-t0p6_shanghai_experiment_20260401.xlsx,14.011785823600485,523.8369782197532,0.05156396465048912,0.00065
air,Gyroid,工况5,2536.370618396681,experiments/water_air/water-air_G7-t0p6_shanghai_experiment_20260401.xlsx,21.017678735400725,506.33429053214576,0.036314862637183684,0.00065
air,Gyroid,工况6,3364.108908620138,experiments/water_air/water-air_G7-t0p6_shanghai_experiment_20260401.xlsx,28.02357164720097,513.5416161284312,0.027249288382501995,0.00065
air,Gyroid,工况7,3787.425311914898,experiments/water_air/water-air_G7-t0p6_shanghai_experiment_20260401.xlsx,31.52651810310109,520.9556455101317,0.02394036811196805,0.00065
air,Gyroid,工况8,4289.004151977361,experiments/water_air/water-air_G7-t0p6_shanghai_experiment_20260401.xlsx,35.029464559001205,524.5642843792048,0.021057238378907266,0.00065
air,Gyroid,工况9,4748.844020631761,experiments/water_air/water-air_G7-t0p6_shanghai_experiment_20260401.xlsx,38.53241101490133,531.981839962444,0.018796359258142405,0.00065
air,Gyroid,工况10,5223.192405741122,experiments/water_air/water-air_G7-t0p6_shanghai_experiment_20260401.xlsx,42.03535747080145,535.837142734683,0.016997501248508212,0.00065
air,Gyroid,工况11,5701.618344941314,experiments/water_air/water-air_G7-t0p6_shanghai_experiment_20260401.xlsx,45.538303926701566,535.8674036889695,0.015592605194996917,0.00065
air,Gyroid,工况12,6174.729324890572,experiments/water_air/water-air_G7-t0p6_shanghai_experiment_20260401.xlsx,49.041250382601696,530.0613727868681,0.014570708976170148,0.00065
air,Gyroid,工况13,6635.095586832927,experiments/water_air/water-air_G7-t0p6_shanghai_experiment_20260401.xlsx,52.54419683850181,523.9226119916632,0.013730319852542448,0.00065
air,Gyroid,工况14,7116.113038919247,experiments/water_air/water-air_G7-t0p6_shanghai_experiment_20260401.xlsx,56.04714329440194,523.7218773355316,0.012818952935876012,0.00065
air,Gyroid,工况15,7586.732921896669,experiments/water_air/water-air_G7-t0p6_shanghai_experiment_20260401.xlsx,59.550089750302064,529.8460102027608,0.01189590625157958,0.00065
air,Gyroid,工况16,8062.638117338619,experiments/water_air/water-air_G7-t0p6_shanghai_experiment_20260401.xlsx,63.05303620620218,537.8854662473384,0.011036027954984333,0.00065
water,Gyroid,工况2,105.82210965034717,,32.970366,405.4473498214155,0.5300633252431519,0.00065
water,Gyroid,工况3,157.21204610976125,,48.93038000000001,692.5304546157163,0.30772032523863585,0.00065
water,Gyroid,工况4,214.11114441865377,,65.19781,761.1800880310396,0.22895589419630222,0.00065
water,Gyroid,工况5,277.01329112148557,,83.64276999999998,834.6660833414505,0.173080835284078,0.00065
water,Gyroid,工况6,374.97554778407164,,99.78211,813.9351578533947,0.13686305999193218,0.00065
water,Gyroid,工况7,445.8509186494868,,115.84459600000004,833.9317752974905,0.11516990207358853,0.00065
water,Gyroid,工况8,513.303601132472,,132.21449800000002,843.4771565789302,0.10053888301960251,0.00065
water,Gyroid,工况9,553.1903525462724,,148.994288,846.8717647712709,0.09362952056594007,0.00065
water,Gyroid,工况10,613.3835225997531,,165.59475199999997,840.06848984748,0.08585536031093625,0.00065
water,Gyroid,工况11,655.8854075895626,,182.78443000000004,840.981926819176,0.08066044496091088,0.00065
water,Gyroid,工况12,656.4798411131942,,189.95747,834.2740464955599,0.08118868470050776,0.00065
water,Gyroid,工况13,729.4640447806743,,198.308938,843.8751480337388,0.07288696989256946,0.00065
water,Gyroid,工况14,650.1925835817059,,206.12242800000007,828.5862957929851,0.08242537573236278,0.00065
water,Gyroid,工况15,641.2517393231044,,215.44738,834.3389560415469,0.08295084873859733,0.00065
water,Gyroid,工况16,615.899245996947,,222.46671200000006,833.0306636001313,0.08619501707906821,0.00065
sco2,Gyroid,1,11925.497968532529,,74.59206082717986,1762.3511903880128,0.0030373742216177257,0.0006491520000000001
sco2,Gyroid,2,17844.392799588586,,114.38970915830527,1545.3723200150225,0.0023165744263057312,0.0006491520000000001
sco2,Gyroid,3,23551.926902210736,,152.28502065925107,1568.3398214959395,0.00173049199782341,0.0006491520000000001
sco2,Gyroid,4,30083.111050321153,,190.4452163464966,1590.3664889124861,0.001336557334066009,0.0006491520000000001
sco2,Gyroid,5,36397.10034863899,,229.62212943999342,1551.5045448513615,0.0011325996035824383,0.0006491520000000001
sco2,Gyroid,6,42833.51622463407,,270.35180014034586,1512.5038429663512,0.0009873682763463841,0.0006491520000000001
sco2,Gyroid,7,48860.02078334884,,309.79207421978015,1500.8134064693493,0.0008724268047924532,0.0006491520000000001
sco2,Gyroid,8,11471.15838275677,,74.56100970408868,1676.0343978395601,0.003319358982696645,0.0006491520000000001
sco2,Gyroid,9,17390.149176798404,,114.75042533489209,1532.1755723124375,0.002397364941581881,0.0006491520000000001
sco2,Gyroid,10,23086.087525405674,,152.04015734715784,1528.8998720920601,0.0018108058377080045,0.0006491520000000001
sco2,Gyroid,11,28977.83579874499,,190.278389267677,1535.0300801437718,0.0014374106487974134,0.0006491520000000001
sco2,Gyroid,12,34897.46175224222,,229.70305409164106,1504.8123157425794,0.0012178197484355932,0.0006491520000000001
sco2,Gyroid,13,41022.14777413149,,270.8101149050505,1470.5064046918967,0.0010603331704401094,0.0006491520000000001
sco2,Gyroid,14,11160.657457934247,,74.77100212532443,1621.0994951221148,0.003526587549588344,0.0006491520000000001
sco2,Gyroid,15,16942.131537800673,,113.9531292913128,1559.7306887898692,0.002417239446542614,0.0006491520000000001
sco2,Gyroid,16,22386.051477993115,,151.86437840713944,1531.7718923940447,0.0018638313091010942,0.0006491520000000001
